budget,runtime,budget_per_minute,num_companies,num_countries,tagline_length,overview_length,num_genres,director_film_count,director_collab_count,director_hist_roi,actor_hist_roi,is_major_studio,is_english,is_us_production,has_homepage,is_summer,is_holiday,is_franchise,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_Thriller,genre_War,genre_Western,kw_based_on_novel,kw_woman_director,kw_independent_film,kw_3d,kw_sequel,kw_biography,kw_musical,hit
31115000,178.0,174803.37078651684,3,3,9,79,3,0,0,0.0,7.318631235772358,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9400000,163.0,57668.711656441716,2,1,10,43,4,1,1,3.333333333333333,3.3202751765850356,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000,115.0,17391.304347826088,3,1,14,78,3,1,1,62.73684210526316,62.73684210526316,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2500000,112.0,22321.428571428572,1,1,6,101,3,0,0,0.0,4.828387333333334,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17000000,154.0,110389.61038961039,2,1,15,51,3,0,0,0.0,6.891304347826087,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000000,172.0,23255.81395348837,2,1,12,55,5,0,0,0.0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2686000,109.0,24642.201834862386,1,1,5,24,3,3,1,3.5583333333333336,4.1697500000000005,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
560000,88.0,6363.636363636364,3,1,10,69,2,0,0,0.0,0.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,99.0,2020.20202020202,4,3,14,69,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1800000,95.0,18947.36842105263,2,2,4,72,3,1,0,4.625,0.0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19000000,178.0,106741.57303370787,2,1,24,30,2,0,0,3.636363636363636,7.8831795,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5800000,133.0,43609.02255639098,3,2,7,120,4,0,0,0.0,7.221212121212122,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
17000000,170.0,100000.0,1,1,7,24,4,0,0,0.0,2.969500241041298,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6000000,139.0,43165.467625899284,1,1,2,61,3,0,0,0.0,0.0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2500000,110.0,22727.272727272728,3,2,6,49,3,0,0,0.0,51.09311230263158,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8200000,174.0,47126.4367816092,3,1,7,21,4,1,0,7.276137,17.0454545,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
11000000,178.0,61797.752808988764,1,2,19,53,3,2,1,7.8831795,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
20000000,178.0,112359.55056179775,1,1,0,6,2,0,0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
